date,TD Bank,Chase Bank,Capital One Bank,Bank of America,Citibank,Other Average,State Average
Delaware,16,25,28,10,21,21.0,76.19047619047619
Connecticut,12,28,18,10,32,22.0,54.54545454545454
Florida,6,34,18,10,32,23.5,25.53191489361702
North Carolina,3,27,25,10,35,24.25,12.371134020618557
Washington,0,39,18,10,33,25.0,0.0
Tennessee,0,33,28,10,29,25.0,0.0
Ohio,0,52,27,10,11,25.0,0.0
Colorado,0,49,27,10,14,25.0,0.0
Mississippi,1,33,41,10,15,24.75,4.040404040404041
West Virginia,1,44,33,10,12,24.75,4.040404040404041
Vermont,24,28,23,11,14,19.0,126.3157894736842
Pennsylvania,13,30,28,11,18,21.75,59.77011494252874
Nevada,0,39,20,11,30,25.0,0.0
Missouri,0,30,28,11,31,25.0,0.0
Kentucky,0,45,30,11,14,25.0,0.0
Illinois,0,50,19,12,19,25.0,0.0
California,0,43,15,12,30,25.0,0.0
Oregon,0,43,19,12,26,25.0,0.0
New Mexico,0,33,26,12,29,25.0,0.0
Kansas,0,30,29,12,29,25.0,0.0
Oklahoma,0,38,27,12,23,25.0,0.0
Arkansas,0,30,31,12,27,25.0,0.0
New York,9,42,19,13,17,22.75,39.56043956043956
District of Columbia,4,29,32,13,22,24.0,16.666666666666664
Alabama,1,34,36,13,16,24.75,4.040404040404041
Wisconsin,0,43,32,13,12,25.0,0.0
Alaska,0,21,20,13,46,25.0,0.0
Wyoming,0,39,33,13,15,25.0,0.0
Iowa,1,32,35,14,18,24.75,4.040404040404041
Nebraska,0,37,36,14,13,25.0,0.0
Utah,0,46,25,15,14,25.0,0.0
Minnesota,0,34,35,15,16,25.0,0.0
South Dakota,0,32,38,15,15,25.0,0.0
North Dakota,0,31,38,16,15,25.0,0.0
Idaho,0,41,25,16,18,25.0,0.0
Montana,0,32,32,18,18,25.0,0.0
Hawaii,1,41,23,19,16,24.75,4.040404040404041
Louisiana,0,41,47,5,7,25.0,0.0
Massachusetts,13,24,20,6,37,21.75,59.77011494252874
New Hampshire,31,21,19,7,22,17.25,179.71014492753622
New Jersey,22,31,17,8,22,19.5,112.82051282051282
Maine,26,24,22,8,20,18.5,140.54054054054055
Rhode Island,10,26,20,8,36,22.5,44.44444444444444
Georgia,1,31,26,8,34,24.75,4.040404040404041
South Carolina,11,24,23,9,33,22.25,49.43820224719101
Maryland,3,24,35,9,29,24.25,12.371134020618557
Virginia,2,26,36,9,27,24.5,8.16326530612245
Arizona,0,49,17,9,25,25.0,0.0
Texas,0,43,23,9,25,25.0,0.0
Michigan,0,48,23,9,20,25.0,0.0
Indiana,0,55,24,9,12,25.0,0.0
